house_size_sqm,num_occupants,season,ac,fridge,lights,fans,washing_machine,tv,bill
152,2,1,10,23,8,13,1,5,1819
142,1,1,13,24,4,12,2,6,2045
64,3,1,11,24,5,11,0,7,1783
156,5,1,10,23,6,10,3,9,2090
121,1,1,11,23,5,10,1,4,1788
70,1,0,11,23,4,10,2,2,1563
152,2,0,4,24,4,9,0,7,1351
171,3,0,9,23,2,12,1,8,1806
124,1,0,6,24,5,4,0,4,1363
137,5,0,9,23,7,3,1,6,1731
166,5,1,8,24,6,9,1,4,1783
149,1,0,7,24,6,7,1,3,1400
153,6,0,4,23,7,7,1,4,1498
180,6,0,1,23,8,12,1,6,1471
199,3,0,11,24,5,9,0,3,1782
102,5,0,4,23,3,8,0,7,1375
51,6,0,1,24,10,6,2,4,1315
137,5,0,4,24,7,7,1,5,1476
87,3,0,10,23,3,8,1,3,1530
179,3,0,11,23,5,7,0,0,1715
70,6,1,8,23,8,11,2,4,1746
107,1,0,8,23,8,9,1,2,1515
71,4,0,1,24,7,10,1,2,1087
138,2,1,11,23,6,13,2,5,1890
98,4,1,8,24,9,12,1,0,1677
108,4,0,6,23,9,11,3,0,1582
64,5,0,0,23,7,8,0,6,1144
100,3,0,3,23,7,5,2,5,1323
157,5,1,11,23,5,6,1,5,2014
104,6,0,6,24,7,12,1,7,1661
113,2,1,5,23,6,9,1,5,1523
180,6,1,8,23,6,13,2,8,2074
100,1,1,10,23,2,15,2,1,1661
184,2,1,12,24,5,8,0,4,1938
70,5,1,10,24,3,8,1,5,1687
122,5,0,6,23,10,10,1,7,1683
67,6,0,1,23,7,9,2,9,1362
181,5,1,10,23,9,10,3,6,2116
138,5,1,11,23,5,11,1,6,2013
109,4,1,6,23,5,13,1,5,1625
63,1,1,5,24,6,13,1,2,1364
58,4,0,3,24,9,12,3,4,1360
139,5,1,11,23,7,9,2,6,2007
102,3,1,4,23,4,14,2,6,1515
179,4,0,6,23,8,13,2,8,1824
133,5,0,7,24,4,9,3,9,1792
141,5,0,8,24,9,12,2,5,1819
160,1,0,3,23,7,7,0,4,1256
57,6,1,9,24,5,11,3,5,1790
84,2,1,12,24,5,12,2,4,1802
130,4,1,11,23,5,11,2,4,1898
99,4,1,8,24,7,8,1,6,1706
153,4,1,3,24,7,7,0,4,1506
181,5,1,11,23,3,13,2,0,1979
51,1,1,13,24,6,13,0,0,1603
183,5,1,13,24,6,5,1,3,2091
103,5,1,11,23,4,13,2,9,2000
155,6,0,7,23,8,9,1,8,1741
53,3,1,11,23,9,9,1,5,1735
103,1,0,6,24,5,9,0,4,1333
195,4,0,2,24,9,5,1,3,1460
93,2,0,8,23,7,6,0,3,1443
